Time,RPM,MAP,ECT,IAT,Remote Speed TSC1,fuel_type,Fuel Control Mode,Vbat,Vsw,Hour Meter,MAT,TIP,spk_adv,EPR Command Pressure,EPR Actual Pressure,EGO1_volts,EGO2_volts,MAP_MASTER,Barometric Pressure - BP,MAP_SLAVE,Closed Loop Fuel Trim - CL,Adaptive Fuel Trim - AL,PWe_avg,FORCEIDLE_active,LOWREVLIM_active,OILP_state,MIL Status,OILP_press,Start Timer,fuel_shutoff_chk,spark_shutoff_chk,Phi1_post_delt,Phi_UEGO,TPS Actual %,TPS Command %,rpmd_gov,LoadLim_max,LoadLim_max_TPS,gov_sw_state,KNK_retard,gov_type,sync_state,OILT,MFG_TPS_cmd_pct,MFG_TPS_act_pct,MFG Delta Press - DP,MFG Upstream Pressure,MFG Downstream Pressure,TIPAdapt_TIPcorrect,AUX_PD1_raw,AUX_PU1_raw,AUX_PU2_raw,AUX_PU3_raw,AUX_PD2_raw,AUX_PD3_raw,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,min_gov_rpm,max_gov_rpm,Gov1_rpm,Gov2_rpm,Gov3_rpm,gov_min_abslimit,gov_max_abslimit,LoadLim_perf_stat,LoadLim_T_active,eng_load,DERATE1_active,DERATE2_active,SD_active
146.037,1805.0,8.78125,186.28125,65.02138157894737,1839.2333333333318,2.0,3.0,27.134384792827298,27.08588853586351,1825.1734703550947,69.32320407133244,17.539920414719624,17.514131897711987,-1.6351819230836286,-0.7723388671875,0.0,0.7485646102128015,8.807647599480969,14.2578125,8.620474137931037,0.12189432646625216,-7.18219249117779,27.268873403019743,0.0,0.0,0.0,0.0,93.15418279867258,5.349999904632568,0.0,0.0,0.001706851698991263,0.9378875933195426,26.448439933492452,27.392468994452425,1801.0,89.544677734375,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9466764684766527,5.0,5.0,5.0,0.0,0.0,2.83984375,14.046266549844237,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,27.975264839504074,0.0,0.0,0.0
146.968,1799.5405405405415,8.694594109195402,186.265625,65.09375,1805.9666666666674,2.0,3.0,27.15971013231198,27.202385097493035,1825.1737726089802,69.53856830417227,17.565104166666668,18.767160161507398,-0.8186557476337366,-0.7723388671875,0.0,0.7516114590315013,8.76360429282007,14.2578125,8.419827586206898,0.09210469057175638,-7.163646887238904,27.000580855018587,0.0,0.0,0.0,0.0,94.0102599557522,5.349999904632568,0.0,0.0,0.0016123030626039934,1.0080761156584082,27.293428145892417,27.41242624333992,1801.0,89.544677734375,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9342433294281365,5.0,5.0,5.0,0.0,0.0,2.83984375,14.057595891744548,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,27.83732317496037,0.0,0.0,0.0
147.504,1804.0,8.870192307692319,186.265625,65.13498975409836,1805.225352112682,2.0,3.0,27.167636100973237,27.207014520877944,1825.173828125,69.48650853413655,17.561662946428573,18.30057803468209,-1.0972396187160238,-1.1928500471443861,0.0,0.7550447637384587,8.75390625,14.2578125,8.435294117647059,0.08544921875,-7.157971890487334,27.044921875000075,0.0,0.0,0.0,0.0,93.74346808667451,5.349999904632568,0.0,0.0,0.0015869140625,0.9963777240953944,27.594194765444158,27.411556243896484,1800.6443661971832,89.5532463383212,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9301155083752297,5.0,5.0,5.0,0.0,0.0,2.83984375,14.058262387846657,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.309208295921582,0.0,0.0,0.0
147.522,1804.0,8.85937500000001,186.265625,65.13614241803279,1800.6619718309914,2.0,3.0,27.167807177615572,27.20626171038544,1825.173828125,69.48199046184739,17.567349137931032,18.265895953757234,-1.1272748526880096,-1.2138756061422322,0.0,0.7551883350719105,8.75390625,14.2578125,8.438602941176471,0.08544921875,-7.157891227285242,26.9282407407408,0.0,0.0,0.0,0.0,93.75955372936319,5.349999904632568,0.0,0.0,0.0015869140625,0.9974532277960523,27.58081789369937,27.411253312054804,1800.612676056338,89.55402138792438,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9302225424484771,5.0,5.0,5.0,0.0,0.0,2.83984375,14.057688876427406,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.332183259358345,0.0,0.0,0.0
147.547,1804.0,8.844350961538467,186.265625,65.13774334016394,1794.3239436619758,2.0,3.0,27.16796875,27.205216140256958,1825.173828125,69.47571536144578,17.577451508620687,18.217726396917143,-1.1846892793299744,-1.2430777714170238,0.0,0.7553877397017046,8.75390625,14.2578125,8.443198529411767,0.08544921875,-7.1577791950601135,26.71651785714297,0.0,0.0,0.0,0.0,93.78189489976414,5.349999904632568,0.0,0.0,0.0015869140625,0.9989469829358553,27.562238905164932,27.4108325733858,1800.568661971831,89.55509784570657,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9303712008835432,5.0,5.0,5.0,0.0,0.0,2.83984375,14.05689233278956,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.31797880284927,0.0,0.0,0.0
147.588,1803.7,8.825892857142861,186.265625,65.14036885245902,1791.9787234042528,2.0,3.0,27.16796875,27.203501405246254,1825.173828125,69.46542419678715,17.585622479838708,18.138728323699425,-1.2319071525270782,-1.2909693224676673,0.0,0.7557147632945668,8.75390625,14.2578125,8.450735294117647,0.08544921875,-7.157595462210903,26.346109693877562,0.0,0.0,0.0,0.0,93.81853441922169,5.349999904632568,0.0,0.0,0.0015869140625,1.0013967413651315,27.531769363968465,27.410142561968634,1800.4964788732395,89.55686323646935,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9306150007170515,5.0,5.0,5.0,0.0,0.0,2.83984375,14.055586001223492,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.2237517528045,0.0,0.0,0.0
148.056,1802.0400000000002,8.79296875,186.2690164728682,65.14921675191816,1812.12987012987,2.0,3.0,27.13973445595855,27.21522851980728,1825.1740425569465,69.46875,17.571087670233464,14.704275534441926,-0.8193155028221073,-0.9674217513844822,0.0,0.7576944603110259,8.776227678571429,14.2578125,8.5,0.08951822916666667,-7.16644132197811,27.45044642857146,0.0,0.0,0.0,0.0,93.96098823051948,5.349999904632568,0.0,0.0,0.0015765515571943948,1.027083405351217,27.42388103132054,27.391252660039644,1799.085653104925,89.63623046875,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.9332677938418683,5.0,5.0,5.0,0.0,0.0,2.83984375,14.044494518535263,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.07473754882813,0.0,0.0,0.0
148.249,1804.0,8.7990625,186.268828125,65.140625,1804.851851851852,2.0,3.0,27.134785760309278,27.205481150793652,1825.1741943359375,69.46638513513514,17.570813836898395,17.940594059406077,-0.7887536803288221,-0.7868231411637909,0.0,0.7575833302623821,8.797767857142855,14.2578125,8.5,0.09352495881164936,-7.176407299267661,27.52921195652174,0.0,0.0,0.0,0.0,93.92186447102426,5.349999904632568,0.0,0.0,0.0015365522867147718,1.0220062401876493,27.42055716417713,27.35595703125,1799.4989293361884,89.63623046875,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.93414545947169,5.0,5.0,5.0,0.0,0.0,2.83984375,14.048584425858952,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.1069654915201,0.0,0.0,0.0
148.696,1803.8235294117649,8.823587436868687,186.2660984848485,65.140625,1802.0805369127518,2.0,3.0,27.13232421875,27.210605053191486,1825.1741943359375,69.41020569620252,17.58537755972696,17.54834254143642,-1.3557745964972678,-1.1553466796875007,0.0,0.7542658211297071,8.805431547619047,14.2578125,8.5,0.09765625,-7.166072066112231,26.143554687500046,0.0,0.0,0.0,0.0,93.83292333477509,5.349999904632568,0.0,0.0,0.00146484375,1.0015550823302932,27.440662873096958,27.45455358301141,1799.379746835443,89.569091796875,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.936364880553237,5.0,5.0,5.0,0.0,0.0,2.843112244897959,14.0546875,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.240109561534407,0.0,0.0,0.0
148.846,1798.5294117647054,8.813671874999999,186.265625,65.12784926470589,1784.9529411764686,2.0,3.0,27.14200505239521,27.171574519230766,1825.1741943359375,69.375,17.591567737430168,13.543478260869161,-1.104979127317988,-1.196899414062474,0.0,0.7521206524581588,8.807424532312925,14.2578125,8.5,0.09765625,-7.153274372059812,26.65802752293579,0.0,0.0,0.0,0.0,93.69847470238093,5.349999904632568,0.0,0.0,0.00146484375,0.9997305970897847,27.19719928243886,27.35245373784279,1799.408163265306,89.569091796875,99.896240234375,3.0,0.0,3.0,-2.0,188.5,0.0,0.0,0.0,8.52778148651123,8.52778148651123,0.0,1.937189881329064,5.0,5.0,5.0,0.0,0.0,2.8461017219387754,14.0546875,2.83984375,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0,0.0,2.0,28.165530086903093,0.0,0.0,0.0
