Time,rpm,MAP,ECT,IAT,RMT_speed,fuel_type,fuel_ctl_mode,Vbat,Vsw,Engine Hours,MAT,TIP,spk_adv,MJ_P_cmd,MJ_P_act,EGO1_volts,EGO2_volts,rIAT,BP,rMAP,CL_BM1,A_BM1,PWe_avg,FORCEIDLE_active,LOWREVLIM_active,OILP_state,MIL Staus,OILP_press,start_tmr,fuel_shutoff_chk,spark_shutoff_chk,Phi1_post_delt,Phi_UEGO,TPS_pct,TPS_cmd_pct,rpmd_gov,LoadLim_max,LoadLim_max_TPS,gov_sw_state,KNK_retard,gov_type,sync_state,OILT,MFG_TPS_cmd_pct,MFG_TPS_act_pct,MFG_DPPress,MFG_USPress,MFG_DSPress,run_mode,eng_load,AUX_PD1_raw,AUX_PU1_raw,AUX_PU2_raw,AUX_PU3_raw,AUX_PD2_raw,AUX_PD3_raw,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,min_gov_rpm,max_gov_rpm,Gov1_rpm,Gov2_rpm,Gov3_rpm,gov_min_abslimit,gov_max_abslimit
578.92,1800.0594594594595,8.870930989583337,176.45312,77.499800955414,1798.974358974359,2.0,3.0,27.832409274193548,27.61328125,27839.36328125,82.44697473404254,17.81876474056605,33.3125,-0.6823481608358986,-0.7030463442595016,0.0,0.7595480540939425,77.50226764413519,13.00390625,8.932130791505772,-0.25634765625,-0.5174927522344731,45.26596223021587,0.0,0.0,0.0,1.0,92.19406495418853,4.920000076293945,0.0,0.0,0.00970458984375,1.0393270790030118,24.69144591097701,24.721488507341263,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.81057706906976,1.9572708019229221,5.0,5.0,1.6808478932782824,0.0,0.0,2.83984375,2.8347473144531268,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
578.95,1799.8162162162157,8.86975097656252,176.45312,77.50278662420382,1799.166666666667,2.0,3.0,27.831905241935484,27.61328125,27839.36328125,82.44946808510639,17.801076061320714,33.3125,-0.6812765594106979,-0.7090553880774544,0.0,0.7595179751668377,77.5031995526839,13.00390625,8.943442326254837,-0.25634765625,-0.5173016191773222,45.21706384892076,0.0,0.0,0.0,1.0,92.15479793848162,4.920000076293945,0.0,0.0,0.00970458984375,1.0341824872777967,24.741229936770562,24.75800273019522,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.80087183221019,1.956745011954786,5.0,5.0,1.6810244235647733,0.0,0.0,2.83984375,2.833831787109374,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
578.98,1799.5729729729726,8.881470959595958,176.46875,77.50577229299363,1799.3589743589744,2.0,3.0,27.83140120967742,27.61328125,27839.36328125,82.45196143617021,17.783387382075446,33.3125,-0.6802049579855013,-0.7150644318953845,0.0,0.759487896239733,77.5041314612326,13.00390625,8.954753861003862,-0.25634765625,-0.5171104861201721,45.16816546762583,0.0,0.0,0.0,1.0,92.11553092277485,4.920000076293945,0.0,0.0,0.00970458984375,1.0290378955526012,24.791013962563923,24.794516953049033,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.79116659535066,1.9562192219866519,5.0,5.0,1.6812009538512633,0.0,0.0,2.83984375,2.832916259765625,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.075,1798.8027027027022,8.930468750000069,176.48438,77.51522691082803,1799.9679487179487,2.0,3.0,27.82980510752688,27.61328125,27839.36328125,82.45985704787235,17.72737323113203,33.3125,-0.6490865358164485,-0.7117518833704386,0.0,0.7593926463039015,77.50708250497019,13.00390625,8.99057372104248,-0.25634765625,-0.5165052314391958,45.11394457547229,0.0,0.0,0.0,1.0,91.99118537303661,4.920000076293945,0.0,0.0,0.00970458984375,1.0127466884227956,24.94866337757643,24.91014532541959,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.76043334529544,1.9545542204208914,5.0,5.0,1.6817599664251492,0.0,0.0,2.83984375,2.830017089843749,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.108,1798.5351351351353,8.956597222222156,176.48438,77.515625,1799.2000000000019,2.0,3.0,27.82925067204301,27.61328125,27839.36328125,82.46259973404254,17.703125000000064,33.3125,-0.5997537962149148,-0.6569235665458196,0.0,0.7593595594840863,77.50810760437376,13.00390625,9.003016409266381,-0.25634765625,-0.5162949850763311,45.36202830188659,0.0,0.0,0.0,1.0,91.94799165575927,4.920000076293945,0.0,0.0,0.00970458984375,1.0070876375250921,25.003425805949018,24.950310970558707,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.74975758474997,1.953975851455945,5.0,5.0,1.681954149740288,0.0,0.0,2.83984375,2.829010009765627,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.124,1798.405405405405,8.969726562500028,176.48438,77.515625,1799.0,2.0,3.0,27.82898185483871,27.61328125,27839.36328125,82.4639295212766,17.692382812500007,33.3125,-0.575834892165501,-0.6303401402064044,0.0,0.7593435173896305,77.5086046222664,13.00390625,9.009049227799228,-0.25634765625,-0.5161930474458504,45.482311320755066,0.0,0.0,0.0,1.0,91.93359375,4.920000076293945,0.0,0.0,0.00970458984375,1.0043438552716388,25.029977286372294,24.969785222747518,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.74458145842486,1.9536954301396052,5.0,5.0,1.6820482992264163,0.0,0.0,2.83984375,2.828521728515625,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.143,1798.2513513513509,8.98046875,176.48438,77.515625,1799.0,2.0,3.0,27.8286626344086,27.61328125,27839.36328125,82.46550864361703,17.683105468749982,33.3125,-0.5474311936069495,-0.5987723214284905,0.0,0.7593244674024641,77.50919483101391,13.00390625,9.016213199806952,-0.25634765625,-0.5160719965096552,45.625147405660734,0.0,0.0,0.0,1.0,91.90130208333315,4.920000076293945,0.0,0.0,0.00970458984375,1.0010856138456778,25.061507169374796,24.99291089722163,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.738434808413814,1.9533624298264531,5.0,5.0,1.6821601017411936,0.0,0.0,2.83984375,2.8279418945312496,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.158,1798.1297297297294,8.9921875,176.48438,77.52631578947371,1799.0,2.0,3.0,27.82841061827957,27.61328125,27839.36328125,82.46675531914893,17.67784926470588,33.3125,-0.5250072210607514,-0.5738503592354304,0.0,0.7593094279389118,77.50966078528828,13.00390625,9.021868967181463,-0.25634765625,-0.5159764299810801,45.737912735849285,0.0,0.0,0.0,1.0,91.80879934210525,4.920000076293945,0.0,0.0,0.00970458984375,0.9985133179830801,25.086399182271478,25.01116800864854,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.73358218998405,1.953099534842386,5.0,5.0,1.6822483668844386,0.0,0.0,2.83984375,2.827484130859375,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.259,1798.2575757575758,9.05859375,176.46875,77.53125,1799.9489795918369,2.0,3.0,27.82896850899743,27.59769473522167,27839.36328125,82.46875,17.679448341836736,33.3125,-0.3740191392495487,-0.4060424804686744,0.0,0.7593813295717592,77.51279821073558,13.00390625,9.059951134169877,-0.25634765625,-0.5120584787416036,46.49719929245289,0.0,0.0,0.0,1.0,91.71535773026316,4.920000076293945,0.0,0.0,0.00970458984375,0.9811931925082393,25.10220856092773,25.028724277142338,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.700907892556934,1.9513293752829994,5.0,5.0,1.6828426855156222,0.0,0.0,2.83984375,2.8244018554687504,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
579.274,1798.3030303030303,9.066685267857135,176.46875,77.53125,1800.0,2.0,3.0,27.829119135604113,27.594808343596057,27839.36328125,82.46875,17.677734375,33.3125,-0.35159516670335067,-0.38112051827561433,0.0,0.7594039351851851,77.51326416500994,13.00390625,9.06560690154439,-0.25634765625,-0.5112072653021674,46.60996462264144,0.0,0.0,0.0,1.0,91.70703125,4.920000076293945,0.0,0.0,0.00970458984375,0.9786208966456414,25.08245444396717,25.015368904035068,1799.0,99.12109375,98.9959716796875,3.0,0.0,3.0,-2.0,190.25,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,35.69605527412717,1.9510664802989324,5.0,5.0,1.6829309506588672,0.0,0.0,2.83984375,2.823944091796876,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
