Time,rpm,MAP,MILout_mirror,Vsw,Vbat,ECT,IAT,MJ_P_cmd,MJ_P_act,TIP,EGO1_volts,OILP_press,TIP_MAP_DELTA,RMT_speed,spk_adv,fuel_shutoff_chk,spark_shutoff_chk,fuel_type,OILP_state,MAT,LOWREVLIM_active,FORCEIDLE_active,BP,PWe_avg,FPin,FT,CL_BM1,Phi1_post_delt,A_BM1,EGO2_volts,fuel_ctl_mode,EGO1Z_ohms,EGO2Z_ohms,Phi_UEGO,TPS_cmd_pct,TPS_pct,gov_sw_state,rpmd_gov,gov_type,LoadLim_max,LoadLim_max_TPS,FPP_cmd_pct,FPP_pct,FPP1_pct,FPP2_pct,FPP1_idle,FPP2_idle,FPP1_full,FPP2_full,FPP1_rawfilt,FPP2_rawfilt,IVS State,KNK_retard,RS_speed,RS_speed_d,RS_pulses_per_km,start_tmr,sync_state,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,AUX_PU1_raw,AUX_PU2_raw,AUX_PUD1_raw,AUX_PD1_raw,AUX_PD2_raw,AUX_PUD2_raw,AUX_PUD3_raw,Gov1_volt,Gov2_volt,CAN_Rx_packs,CAN_Tx_packs,CAN2_Rx_packs,CAN2_Tx_packs,ME0mstr_MAP,ME0slv1_MAP
98.319,1808.20155,6.320459692,0,13.83734375,14.01651947,140.6487353,98.95273973,-0.610127245,-0.555675207,14.79804913,0.340686247,56.54503477,8.477589441,1800,28.5,0,0,2,0,108.9101347,0,0,14.5,7.345784505,46.796875,92.5625,-0.686645508,0,-1.836183895,0.039960474,3,202.3020408,18932.1551,0,14.19823615,14.60539011,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19449.49412,33828.27826,0,0,6.357312925,0
98.665,1802.493506,6.165127841,0,13.8676883,14.01953125,140.89375,98.99685252,-0.120364499,-0.069086175,14.8204153,0.796941584,56.46996753,8.655287455,1800,28.5,0,0,2,0,109.0176542,0,0,14.5,7.283030627,46.796875,92.5625,-0.689523376,0,-1.859746428,0.059670403,3,210.7755102,19033.83673,0,14.29420013,14.02156038,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19502.26582,33919.5443,0,0,6.298469388,0
99.045,1801.344262,6.21791752,0,13.81794314,14.01953125,141.11875,98.97976619,-0.401686145,-0.305635514,14.76643105,0.700817477,56.36552254,8.548513531,1800,28.5,0,0,2,0,109.093498,0,0,14.5,7.131087662,46.796875,92.5625,-0.689697266,0,-1.886541193,0.044860026,3,205.3043478,19003.84058,0,14.02797699,14.1179333,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19559.65079,34020.93548,0,0,6.266222678,0
99.36,1795,6.27049674,0,13.80714495,14.01953125,141.240757,98.95969828,-0.435991518,-0.553771828,14.75045848,0.153928945,56.22718603,8.47996174,1800,28.5,0,0,2,0,109.0785006,0,0,14.5,7.7734375,46.796875,92.5625,-0.689697266,0,-1.777818468,0.02128355,3,198.9130435,18959.10145,0,14.025264,14.41864014,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19606.70546,34101.5493,0,0,6.320013661,0
99.783,1796.528239,6.341267768,0,13.8515625,14.01953125,141.4029605,98.905,-0.25619655,-0.259905967,14.75759041,0.730122544,56.42264614,8.416322638,1800,28.5,0,0,2,0,109.0954693,0,0,14.5,7.689475995,46.796875,92.5625,-0.753470992,0,-1.780871844,0.047266557,3,195.4109589,18921.85342,0,14.46510072,14.63142432,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19669.08414,34213.48505,0,0,6.375,0
100.085,1801.699739,6.297395833,0,13.8515625,14.01866319,141.6340461,98.86363636,-0.65645238,-0.670715332,14.78463542,0.163628472,56.35651042,8.487239583,1800,28.5,0,0,2,0,109.1258117,0,0,14.5,7.6875,46.796875,92.5625,-0.756835938,0,-1.747091455,0.029562996,3,193.3424658,18897.44521,0,14.88304007,14.62631226,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19713.56,34292.34392,0,0,6.375,0
100.465,1805.225352,6.276683539,0,13.8515625,14.01723031,141.8364726,98.82942708,-0.158081055,-0.111127218,14.82732235,0.810694028,56.48598031,8.550638807,1800,28.5,0,0,2,0,109.1575704,0,0,14.5,7.383223684,46.796875,92.5625,-0.756835938,0,-1.875135634,0.056535993,3,203.1879195,18783.9396,0,13.96399604,14.42417145,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19771.83562,34388.45946,0,0,6.358660131,0
100.825,1798.592593,6.135850694,0,13.85668945,14.0234375,141.9628906,98.92148438,-0.506762695,-0.390936957,14.79499421,0.728407118,56.4140625,8.659143519,1800,28.5,0,0,2,0,109.2515244,0,0,14.5,7.223090278,46.796875,92.5625,-0.770500525,0,-1.871266085,0.052490234,3,214.3020134,18663.13423,0,13.83379768,14.19538415,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19825.92405,34482.40506,0,0,6.299836601,0
101.23,1795.233766,6.296062809,0,13.87890625,14.02247061,142.1505682,99.01420455,-0.12502184,-0.1602167,14.75390625,0.677960576,56.42167208,8.457843441,1800,28.5,0,0,2,0,109.3122716,0,0,14.5,7.980709877,46.796875,92.5625,-0.772094727,0,-1.706936993,0.024432843,3,205.8416887,18637.12189,0,14.53980666,14.73388672,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19885.98413,34588,0,0,6.25,0
101.577,1801.059361,6.424476227,0,13.86437988,14.02056654,142.4055414,99.0625,-0.20079329,-0.216968194,14.77148886,0.685301599,56.4705522,8.347012638,1800,28.5,0,0,2,0,109.2992129,0,0,14.5,7.696505764,46.796875,92.5625,-0.772094727,0,-1.691096762,0.0473227,3,195.7704485,18631.2097,0,14.79677947,14.77576546,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,19938.55916,34679.14617,0,0,6.25,0
